application_id,score,pd,qaror,sabab,sabab_texnik,asosiy_omil,tavsiya_summa,limit,dti,pti,income_cv,scorecard_version
AP002278,680.7,0.007565,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 18 178 816 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 997 808 so'm bo'ladi. To'sqinlik qildi: xarajatlaringiz daromadning 63% ini yeb qo'yadi. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; yangi kreditsiz ham qarz yukingiz past — daromadning 15% i; ish stajingiz uzoq — 10 yil 9 oy. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 681 (PD 0.8%), DTI 23.0% shift ichida. Asosiy ijobiy omillar: Bank oqimi / deklaratsiya (+14 ball), Mavjud qarz yuki (yangi kreditsiz) (+14 ball), Ish staji (oy) (+13 ball). Tasdiqlangan summa 18 178 816 so'm.",Sarf intensivligi (chiqim/kirim) (-3 ball),18178816,79500000,0.2297,0.0799,0.034,v1
AP002279,522.5,0.647506,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirda doimiy ish joyingiz va muntazam daromadingiz yo'q. To'sqinlik qildi: bandlik turingiz (ishsiz) yuqori xavfli guruhda; ish stajingiz qisqa — atigi 0 oy; oylik daromadingiz 1 669 600 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; oxirgi oylarda daromadingiz o'sgan; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Rasmiy ish joyi va muntazam daromad tasdiqlangach murojaat qiling — bu asosiy shart.","Rad etildi: Bandlik holati: ishsiz — doimiy daromad manbai yo'q; So'ralgan summada DTI 85.1% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Bandlik turi (-68 ball), Ish staji (oy) (-15 ball). Yakuniy ball 522.",Bandlik turi (-68 ball),0,0,0.8508,0.8508,0.0288,v1
AP002280,608.8,0.084311,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 16 875 687 so'm ni to'liq bera olmaymiz, lekin 13 600 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 1 312 481 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oxirgi oylarda daromadingiz kamaygan; bankimiz bilan tarixingiz qisqa — 1 yil, sizni hali yaxshi bilmaymiz; daromadning 20% i naqd yechib olinadi — bank uchun bu ko'rinmas pul. Foydangizga ishladi: xarajatlaringiz daromadning 67% i — tejamkor; barcha to'lovlardan keyin oyiga 2 124 364 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: To'lov qobiliyatingiz 13 600 000 so'm ga yetadi. Shu summani so'rasangiz, ariza qo'lda ko'rib chiqishga tushadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 43.4% ini oladi — shift 35.0%; Ball 609 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Daromad trendi (2-yarim/1-yarim) (-7), Bank bilan tarix (oy) (-4). Ball 609, tavsiya etilgan limit 13 600 000 so'm.",Daromad trendi (2-yarim/1-yarim) (-7 ball),13600000,0,0.434,0.434,0.2952,v1
AP002281,627.3,0.04628,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 20 746 946 so'm ni to'liq bera olmaymiz, lekin 1 700 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 70 318 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: oylik daromadingiz 1 304 636 so'm — so'ralgan summa uchun kam; daromadning 20% i naqd yechib olinadi — bank uchun bu ko'rinmas pul; oila a'zosiga oyiga atigi 326 159 so'm to'g'ri keladi. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; bandlik turingiz (byudjet) barqaror daromad beradi; yangi kreditsiz ham qarz yukingiz past — daromadning 44% i. Nima qilish mumkin: So'rovni 1 700 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 3 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi. Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 110.2% — shift 50.0%; taklif: 1 700 000 so'm; Yangi to'lov daromadning 65.8% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Naqd yechish ulushi (-4). Ball 627, tavsiya etilgan limit 1 700 000 so'm.",Oylik daromad medianasi (-11 ball),1700000,1700000,1.102,0.6578,0.0237,v1
AP002282,631.0,0.040894,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 69% ini yeb qo'yadi. Foydangizga ishladi: barcha to'lovlardan keyin oyiga 7 990 743 so'm qoladi; oylik daromadingiz 8 570 229 so'm — yetarli daraja; ish stajingiz uzoq — 9 yil 1 oy. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Qo'lda ko'rib chiqish: so'ralgan 18 611 559 so'm o'rniga to'lov qobiliyati 0 so'm ga yetadi (skorkarta bali / PD chegarasi). Diqqat talab qiladigan omillar: Bank oqimi / deklaratsiya (-4), Sarf intensivligi (chiqim/kirim) (-2). Ball 631, tavsiya etilgan limit 0 so'm.",Bank oqimi / deklaratsiya (-4 ball),0,0,0.0676,0.0676,0.0258,v1
AP002283,558.2,0.347235,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirgi daromadingiz mavjud to'lovlardan keyin yangi kreditni ko'tara olmaydi. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 88% ini oladi; barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; mavjud qarz qoldig'i yillik daromadingizdan 0.6 barobar. Foydangizga ishladi: bandlik turingiz (byudjet) barqaror daromad beradi; ish stajingiz uzoq — 13 yil 11 oy; bankimiz bilan tarixingiz uzoq — 6 yil 2 oy. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Rad etildi: So'ralgan summada DTI 190.8% — shift 50.0%; to'lov qobiliyati qolmagan; Yangi to'lov daromadning 102.3% ini oladi — shift 35.0%. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), To'lovlardan keyingi erkin pul (-15 ball). Yakuniy ball 558.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,1.908,1.0231,0.0312,v1
AP002284,620.8,0.057311,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bankimiz bilan tarixingiz qisqa — 2 yil 8 oy, sizni hali yaxshi bilmaymiz; xarajatlaringiz daromadning 64% ini yeb qo'yadi; oxirgi oylarda daromadingiz kamaygan. Foydangizga ishladi: barcha to'lovlardan keyin oyiga 7 738 476 so'm qoladi; oylik daromadingiz 9 268 310 so'm — yetarli daraja; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.","Qo'lda ko'rib chiqish: Ball 621 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Bank bilan tarix (oy) (-4), Sarf intensivligi (chiqim/kirim) (-3). Ball 621, tavsiya etilgan limit 36 985 032 so'm.",Bank bilan tarix (oy) (-4 ball),36985032,0,0.1651,0.1651,0.2323,v1
AP002285,628.7,0.044203,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 10 686 331 so'm ni to'liq bera olmaymiz, lekin 7 200 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 694 843 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: mavjud qarz qoldig'i yillik daromadingizdan 0.2 barobar; bankimiz bilan tarixingiz qisqa — 1 yil 5 oy, sizni hali yaxshi bilmaymiz; oylik daromadingiz 2 989 364 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; ish stajingiz uzoq — 10 yil 2 oy; bandlik turingiz (xususiy) barqaror daromad beradi. Nima qilish mumkin: So'rovni 4 500 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi. Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 61.2% — shift 50.0%; taklif: 7 200 000 so'm; Ball 629 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Qarz qoldig'i / yillik daromad (-11), Bank bilan tarix (oy) (-4). Ball 629, tavsiya etilgan limit 7 200 000 so'm.",Qarz qoldig'i / yillik daromad (-11 ball),7200000,4500000,0.6125,0.345,0.2503,v1
AP002286,580.3,0.198375,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirgi daromadingiz mavjud to'lovlardan keyin yangi kreditni ko'tara olmaydi. To'sqinlik qildi: yangi kreditgacha ham mavjud to'lovlaringiz daromadning 89% ini oladi; mavjud qarz qoldig'i yillik daromadingizdan 0.6 barobar; oylik daromadingiz 2 103 660 so'm — so'ralgan summa uchun kam. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; ish stajingiz uzoq — 7 yil 10 oy; xarajatlaringiz daromadning 72% i — tejamkor. Nima qilish mumkin: Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Rad etildi: So'ralgan summada DTI 108.5% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Mavjud qarz yuki (yangi kreditsiz) (-19 ball), Qarz qoldig'i / yillik daromad (-11 ball). Yakuniy ball 580.",Mavjud qarz yuki (yangi kreditsiz) (-19 ball),0,0,1.0848,0.1963,0.027,v1
AP002287,547.3,0.437413,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirda doimiy ish joyingiz va muntazam daromadingiz yo'q. To'sqinlik qildi: bandlik turingiz (ishsiz) yuqori xavfli guruhda; ish stajingiz qisqa — atigi 0 oy; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 19% i; oxirgi oylarda daromadingiz o'sgan; xarajatlaringiz daromadning 72% i — tejamkor. Nima qilish mumkin: Rasmiy ish joyi va muntazam daromad tasdiqlangach murojaat qiling — bu asosiy shart.","Rad etildi: Bandlik holati: ishsiz — doimiy daromad manbai yo'q; So'ralgan summada DTI 78.9% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: Bandlik turi (-68 ball), Ish staji (oy) (-15 ball). Yakuniy ball 547.",Bandlik turi (-68 ball),0,0,0.7894,0.6023,0.1589,v1
AP002288,542.2,0.481087,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: hozirda doimiy ish joyingiz va muntazam daromadingiz yo'q. To'sqinlik qildi: bandlik turingiz (ishsiz) yuqori xavfli guruhda; ish stajingiz qisqa — atigi 0 oy; xarajatlaringiz daromadning 66% ini yeb qo'yadi. Foydangizga ishladi: oylik daromadingiz 6 302 021 so'm — yetarli daraja; barcha to'lovlardan keyin oyiga 5 359 053 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Rasmiy ish joyi va muntazam daromad tasdiqlangach murojaat qiling — bu asosiy shart.","Rad etildi: Bandlik holati: ishsiz — doimiy daromad manbai yo'q; Defolt ehtimoli 48.1% — shift 20.0%. Ballga eng ko'p salbiy ta'sir: Bandlik turi (-68 ball), Ish staji (oy) (-15 ball). Yakuniy ball 542.",Bandlik turi (-68 ball),0,0,0.1496,0.1496,0.307,v1
AP002289,631.9,0.039687,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 1 855 178 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 76 737 so'm bo'ladi. To'sqinlik qildi: ish stajingiz qisqa — atigi 1 yil 5 oy; oylik daromadingiz 2 483 500 so'm — so'ralgan summa uchun kam; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 6% i; bandlik turingiz (byudjet) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 2 250 662 so'm qoladi. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 632 (PD 4.0%), DTI 9.4% shift ichida. Asosiy ijobiy omillar: Mavjud qarz yuki (yangi kreditsiz) (+14 ball), Bandlik turi (+11 ball), To'lovlardan keyingi erkin pul (+7 ball). Tasdiqlangan summa 1 855 178 so'm.",Ish staji (oy) (-15 ball),1855178,13600000,0.0938,0.0309,0.0265,v1
AP002290,629.5,0.043098,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 50 909 734 so'm ni to'liq bera olmaymiz, lekin 12 900 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 1 244 927 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; oxirgi oylarda daromadingiz o'sgan; xarajatlaringiz daromadning 72% i — tejamkor. Nima qilish mumkin: So'rovni 12 900 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 138.1% — shift 50.0%; taklif: 12 900 000 so'm; Yangi to'lov daromadning 138.1% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: To'lovlardan keyingi erkin pul (-15), So'ralgan summa / yillik daromad (-2). Ball 629, tavsiya etilgan limit 12 900 000 so'm.",To'lovlardan keyingi erkin pul (-15 ball),12900000,12900000,1.3809,1.3809,0.0311,v1
AP002291,610.4,0.080278,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 17 994 878 so'm ni to'liq bera olmaymiz, lekin 4 000 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 722 157 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; oylik daromadingiz 2 093 336 so'm — so'ralgan summa uchun kam; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 12% i; ish stajingiz uzoq — 10 yil 3 oy; oxirgi oylarda daromadingiz o'sgan. Nima qilish mumkin: So'rovni 4 000 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 6 oy) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 167.5% — shift 50.0%; taklif: 4 000 000 so'm; Yangi to'lov daromadning 155.2% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: To'lovlardan keyingi erkin pul (-15), Oylik daromad medianasi (-11). Ball 610, tavsiya etilgan limit 4 000 000 so'm.",To'lovlardan keyingi erkin pul (-15 ball),4000000,4000000,1.6754,1.552,0.028,v1
AP002292,630.2,0.042032,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 8 167 870 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 1 474 622 so'm bo'ladi. To'sqinlik qildi: oxirgi oylarda daromadingiz kamaygan; xarajatlaringiz daromadning 65% ini yeb qo'yadi. Foydangizga ishladi: barcha to'lovlardan keyin oyiga 7 347 834 so'm qoladi; bandlik turingiz (xususiy) barqaror daromad beradi; oylik daromadingiz 8 822 456 so'm — yetarli daraja. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 630 (PD 4.2%), DTI 16.7% shift ichida. Asosiy ijobiy omillar: To'lovlardan keyingi erkin pul (+9 ball), Bandlik turi (+9 ball), Oylik daromad medianasi (+9 ball). Tasdiqlangan summa 8 167 870 so'm.",Daromad trendi (2-yarim/1-yarim) (-7 ball),8167870,13300000,0.1671,0.1671,0.1966,v1
AP002293,618.0,0.062869,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 45 231 244 so'm ni to'liq bera olmaymiz, lekin 14 100 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 1 360 734 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: barcha to'lovlardan keyin qo'lingizda pul umuman qolmaydi; bank hisobingizdagi tushum deklaratsiya bilan mos; bankimiz bilan tarixingiz qisqa — 1 yil 1 oy, sizni hali yaxshi bilmaymiz. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 10% i; ish stajingiz uzoq — 12 yil 2 oy; bandlik turingiz (xususiy) barqaror daromad beradi. Nima qilish mumkin: So'rovni 14 100 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 122.0% — shift 50.0%; taklif: 14 100 000 so'm; Yangi to'lov daromadning 111.9% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: To'lovlardan keyingi erkin pul (-15), Bank oqimi / deklaratsiya (-4). Ball 618, tavsiya etilgan limit 14 100 000 so'm.",To'lovlardan keyingi erkin pul (-15 ball),14100000,14100000,1.2203,1.1194,0.0297,v1
AP002294,624.6,0.050644,QOLDA_KORIB_CHIQISH,Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: bank hisobingizdagi tushum deklaratsiya bilan mos; xarajatlaringiz daromadning 63% ini yeb qo'yadi. Foydangizga ishladi: bandlik turingiz (xususiy) barqaror daromad beradi; barcha to'lovlardan keyin oyiga 3 657 172 so'm qoladi; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Qo'lda ko'rib chiqish: Ball 625 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Bank oqimi / deklaratsiya (-4), Sarf intensivligi (chiqim/kirim) (-3). Ball 625, tavsiya etilgan limit 8 456 056 so'm.",Bank oqimi / deklaratsiya (-4 ball),8456056,0,0.0873,0.0873,0.0328,v1
AP002295,637.9,0.032536,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 39 748 772 so'm ni to'liq bera olmaymiz, lekin 9 800 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 945 759 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: xarajatlaringiz daromadning 70% ini yeb qo'yadi; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: ish stajingiz uzoq — 11 yil 10 oy; bandlik turingiz (xususiy) barqaror daromad beradi; yangi kreditsiz ham qarz yukingiz past — daromadning 29% i. Nima qilish mumkin: So'rovni 9 800 000 so'm gacha kamaytiring — bu summada ma'qullanish ehtimoli sezilarli oshadi. Muddatni uzaytiring (hozir 1 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi. Mavjud kreditlaringizdan birini yopsangiz, qarz yuki pasayadi va limit sezilarli oshadi.","Qo'lda ko'rib chiqish: So'ralgan summada DTI 112.6% — shift 50.0%; taklif: 9 800 000 so'm; Yangi to'lov daromadning 83.1% ini oladi — shift 35.0%. Diqqat talab qiladigan omillar: Sarf intensivligi (chiqim/kirim) (-2), Bank oqimi / deklaratsiya (-2). Ball 638, tavsiya etilgan limit 9 800 000 so'm.",Sarf intensivligi (chiqim/kirim) (-2 ball),9800000,9800000,1.1262,0.8313,0.03,v1
AP002296,632.0,0.039635,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 10 378 727 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 569 673 so'm bo'ladi. To'sqinlik qildi: oylik daromadingiz 1 761 783 so'm — so'ralgan summa uchun kam; xarajatlaringiz daromadning 71% ini yeb qo'yadi; oila a'zosiga oyiga atigi 352 357 so'm to'g'ri keladi. Foydangizga ishladi: bandlik turingiz (qurilish) barqaror daromad beradi; bank hisobingizdagi tushum deklaratsiya bilan mos; oxirgi oylarda daromadingiz o'sgan. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 632 (PD 4.0%), DTI 32.3% shift ichida. Asosiy ijobiy omillar: Bandlik turi (+9 ball), Bank oqimi / deklaratsiya (+8 ball), Daromad trendi (2-yarim/1-yarim) (+8 ball). Tasdiqlangan summa 10 378 727 so'm.",Oylik daromad medianasi (-11 ball),10378727,11200000,0.3234,0.3234,0.0354,v1
AP002297,587.6,0.160966,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. So'ragan 14 590 301 so'm ni to'liq bera olmaymiz, lekin 13 000 000 so'm sizning to'lov qobiliyatingizga to'g'ri keladi — bunda oylik to'lov 537 727 so'm bo'ladi. Yakuniy qarorni bank xodimi tasdiqlaydi. To'sqinlik qildi: ish stajingiz qisqa — atigi 2 yil 1 oy; oylik daromadingiz 1 547 232 so'm — so'ralgan summa uchun kam; bank hisobingizdagi tushum deklaratsiya bilan mos. Foydangizga ishladi: xarajatlaringiz daromadning 67% i — tejamkor; yangi kreditsiz ham qarz yukingiz past — daromadning 0% i; pul harakatingiz shaffof, naqd yechish kam. Nima qilish mumkin: To'lov qobiliyatingiz 13 000 000 so'm ga yetadi. Shu summani so'rasangiz, ariza qo'lda ko'rib chiqishga tushadi. Muddatni uzaytiring (hozir 3 yil) — oylik to'lov kamayadi va qarz yuki chegara ichiga tushadi.","Qo'lda ko'rib chiqish: Yangi to'lov daromadning 39.0% ini oladi — shift 35.0%; Ball 588 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Ish staji (oy) (-15), Oylik daromad medianasi (-11). Ball 588, tavsiya etilgan limit 13 000 000 so'm.",Ish staji (oy) (-15 ball),13000000,0,0.3901,0.3901,0.0327,v1
AP002298,651.0,0.020928,MAQULLANDI,Tabriklaymiz — kredit ma'qullandi. 11 107 923 so'm miqdorida kredit tasdiqlandi. Oylik to'lov taxminan 1 071 981 so'm bo'ladi. To'sqinlik qildi: oila a'zosiga oyiga atigi 555 469 so'm to'g'ri keladi; oxirgi oylarda daromadingiz kamaygan. Foydangizga ishladi: bank hisobingizdagi tushum deklaratsiya bilan mos; ish stajingiz uzoq — 11 yil 7 oy; xarajatlaringiz daromadning 68% i — tejamkor. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.,"Ma'qullandi: ball 651 (PD 2.1%), DTI 27.6% shift ichida. Asosiy ijobiy omillar: Bank oqimi / deklaratsiya (+14 ball), Ish staji (oy) (+13 ball), Sarf intensivligi (chiqim/kirim) (+7 ball). Tasdiqlangan summa 11 107 923 so'm.",Jon boshiga daromad (-3 ball),11107923,14100000,0.2757,0.2757,0.1253,v1
AP002299,611.5,0.077388,RAD_ETILDI,"Afsuski, hozircha kredit bera olmaymiz. Sabab: kredit tarixingizda 95 kunlik kechikish bor. To'sqinlik qildi: o'tmishda 95 kunlik kechikish qayd etilgan; bank hisobingizdagi tushum deklaratsiya bilan mos; bankimiz bilan tarixingiz qisqa — 1 yil 11 oy, sizni hali yaxshi bilmaymiz. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 13% i; barcha to'lovlardan keyin oyiga 1 575 142 so'm qoladi; xarajatlaringiz daromadning 72% i — tejamkor. Nima qilish mumkin: Kechikish yopilgandan keyin 12 oy toza to'lov tarixi to'plang, so'ng qayta murojaat qiling.","Rad etildi: O'tmishda 95 kunlik kechikish (90+ kun — qattiq to'siq); So'ralgan summada DTI 58.2% — shift 50.0%; to'lov qobiliyati qolmagan. Ballga eng ko'p salbiy ta'sir: O'tmishdagi maks. kechikish (kun) (-16 ball), Bank oqimi / deklaratsiya (-4 ball). Yakuniy ball 612.",O'tmishdagi maks. kechikish (kun) (-16 ball),0,0,0.5819,0.4496,0.218,v1
AP002300,628.2,0.045,QOLDA_KORIB_CHIQISH,"Arizangiz bank xodimiga ko'rib chiqishga yuborildi. Ko'rsatkichlaringiz chegaraviy zonada — avtomatik qaror o'rniga bank xodimi arizangizni qo'lda ko'rib chiqadi. To'sqinlik qildi: oylik daromadingiz 2 272 313 so'm — so'ralgan summa uchun kam; bank hisobingizdagi tushum deklaratsiya bilan mos; bankimiz bilan tarixingiz qisqa — 2 yil 6 oy, sizni hali yaxshi bilmaymiz. Foydangizga ishladi: yangi kreditsiz ham qarz yukingiz past — daromadning 16% i; bandlik turingiz (xususiy) barqaror daromad beradi; oxirgi oylarda daromadingiz o'sgan. Nima qilish mumkin: Qo'shimcha shart yo'q — hujjatlarni tasdiqlash uchun bank xodimi siz bilan bog'lanadi.","Qo'lda ko'rib chiqish: Ball 628 — avtomatik ma'qullash chegarasi 630 dan past. Diqqat talab qiladigan omillar: Oylik daromad medianasi (-11), Bank oqimi / deklaratsiya (-4). Ball 628, tavsiya etilgan limit 2 230 302 so'm.",Oylik daromad medianasi (-11 ball),2230302,0,0.1939,0.0306,0.0305,v1
